Brand,Produk,Kategori,Deskripsi
"Oriental,Super Ring,Snack,""Oriental Super Ring adalah camilan berbentuk cincin dengan rasa keju gurih yang khas. Dibuat dari bahan pilihan bertekstur renyah ringan, setiap gigitannya menghadirkan rasa keju yang creamy dan lezat serta memberikan sensasi ngemil yang menyenangkan."""
"Oriental,Super Ring Family Pack,Snack,""Oriental Super Ring Family Pack adalah camilan berbentuk cincin dengan rasa keju gurih dalam kemasan besar. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa keju yang creamy dan nagih serta cocok untuk dinikmati bersama keluarga."""
"Oriental,Super Ring Cans,Snack,""Oriental Super Ring Cans adalah camilan cincin keju dalam kemasan praktis. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa keju yang gurih dan lezat serta mudah dibawa ke mana saja."""

"Oriental,Cheese Balls,Snack,""Oriental Cheese Balls adalah camilan berbentuk bola dengan rasa keju gurih. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa keju yang creamy dan memanjakan."""
"Oriental,Cheese Balls Family Pack,Snack,""Oriental Cheese Balls Family Pack adalah camilan bola keju dalam kemasan besar. Dibuat dari bahan pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa keju yang gurih dan cocok untuk berbagi."""
"Oriental,Cheese Balls Cans,Snack,""Oriental Cheese Balls Cans adalah camilan bola keju dalam kemasan tabung praktis. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa keju yang lembut dan nagih."""

"Oriental,Rota Prawn Crackers,Snack,""Oriental Rota Prawn Crackers adalah camilan kerupuk dengan rasa udang autentik. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa seafood gurih yang khas dan menggugah selera."""
"Oriental,Rota Prawn Family Pack,Snack,""Oriental Rota Prawn Family Pack adalah camilan kerupuk udang dalam kemasan besar. Dibuat dari bahan pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa udang gurih yang kaya dan cocok untuk dinikmati bersama."""

"Oriental,Green Pea Snack,Snack,""Oriental Green Pea Snack adalah camilan berbahan kacang polong dengan rasa gurih alami. Dibuat dari kacang pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa ringan yang sehat dan menyenangkan."""
"Oriental,Green Pea Snack Family Pack,Snack,""Oriental Green Pea Snack Family Pack adalah camilan kacang polong dalam kemasan besar. Dibuat dari bahan pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa gurih yang ringan dan cocok untuk berbagi."""

"Oriental,Chicken Ring,Snack,""Oriental Chicken Ring adalah camilan berbentuk cincin dengan rasa ayam gurih. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa ayam yang lezat dan menggoda."""
"Oriental,Rostik Chicken Curry,Snack,""Oriental Rostik Chicken Curry adalah camilan stik dengan rasa kari ayam yang khas. Dibuat dari bahan pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa rempah kari yang gurih dan aromatik."""
"Oriental,Rostik Cuttlefish,Snack,""Oriental Rostik Cuttlefish adalah camilan stik dengan rasa cumi autentik. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa seafood yang gurih dan khas."""

"Jacker,Wafer Cube Coklat,Wafer,""Jacker Wafer Cube Coklat adalah wafer berbentuk kubus dengan krim cokelat premium. Dibuat dari bahan pilihan bertekstur renyah berlapis, setiap gigitannya menghadirkan rasa cokelat yang manis dan lembut."""
"Jacker,Wafer Cube Hazelnut,Wafer,""Jacker Wafer Cube Hazelnut adalah wafer kubus dengan krim hazelnut. Dibuat dari bahan pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa kacang yang gurih dan kaya."""
"Jacker,Wafer Cube Tiramisu,Wafer,""Jacker Wafer Cube Tiramisu adalah wafer kubus dengan krim tiramisu. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa kopi creamy yang elegan."""

"Jacker,Original Flavor Potato Crisps Cans 100g,Snack,""Jacker Original Potato Crisps adalah keripik kentang dengan rasa original klasik. Dibuat dari kentang pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa gurih sederhana yang nagih."""
"Jacker,Barbecue Flavor Potato Crisps Cans 100g,Snack,""Jacker Barbecue Potato Crisps adalah keripik kentang dengan rasa BBQ smoky. Dibuat dari kentang pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa manis gurih dengan aroma khas barbecue."""
"Jacker,Hot & Spicy Flavor Potato Crisps Cans 100g,Snack,""Jacker Hot & Spicy Potato Crisps adalah keripik kentang dengan rasa pedas menggigit. Dibuat dari kentang pilihan bertekstur renyah, setiap gigitannya menghadirkan sensasi pedas yang kuat dan menggugah selera."""
"Jacker,Cheese Flavor Potato Crisps Cans 100g,Snack,""Jacker Cheese Potato Crisps adalah keripik kentang dengan rasa keju creamy. Dibuat dari kentang pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa gurih yang lembut dan lezat."""
"Jacker,Vegetable Flavor Potato Crisps Cans 100g,Snack,""Jacker Vegetable Potato Crisps adalah keripik kentang dengan rasa sayuran. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa gurih ringan yang menyegarkan."""
